City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
101,Khandagayty,50.7333,92.05,20.03,56,3,0.83,72,clear sky,RU,2022-03-19 05:52:11
102,Biak,-0.9131,122.8766,82.67,75,100,1.81,63,overcast clouds,ID,2022-03-19 05:52:12
103,Brattvag,62.6002,6.4434,51.37,60,92,20.94,184,overcast clouds,NO,2022-03-19 05:52:12
104,Rameshki,57.3439,36.0453,28.2,83,11,3.04,336,few clouds,RU,2022-03-19 05:52:13
105,Alice Springs,-23.7,133.8833,96.35,14,40,5.75,130,scattered clouds,AU,2022-03-19 05:52:14
106,Capinopolis,-18.6819,-49.5697,71.04,89,32,2.17,47,scattered clouds,BR,2022-03-19 05:52:14
107,Hovd,48.0056,91.6419,27.54,55,90,6.08,80,overcast clouds,MN,2022-03-19 05:52:15
108,Aksay,47.26,39.87,29.25,42,7,11.99,64,clear sky,RU,2022-03-19 05:52:15
109,Tomigusuku,26.185,127.675,73.53,67,20,12.66,330,few clouds,JP,2022-03-19 05:52:16
110,Grand Gaube,-20.0064,57.6608,86.38,79,53,4.0,27,broken clouds,MU,2022-03-19 05:52:17
111,Cairns,-16.9167,145.7667,88.07,71,75,18.41,130,broken clouds,AU,2022-03-19 05:52:17
112,Mamakan,57.8161,114.0028,18.88,62,100,7.36,262,overcast clouds,RU,2022-03-19 05:52:18
113,Ambulu,-8.345,113.6058,85.82,72,94,7.14,216,light rain,ID,2022-03-19 05:52:18
114,Broome,42.2506,-75.833,57.61,78,100,5.99,148,moderate rain,US,2022-03-19 05:52:19
115,Pacific Grove,36.6177,-121.9166,53.71,86,100,6.91,260,overcast clouds,US,2022-03-19 05:51:04
116,Provideniya,64.3833,-173.3,-2.29,80,0,6.55,342,clear sky,RU,2022-03-19 05:52:20
117,Poum,-20.2333,164.0167,79.57,81,100,10.85,244,overcast clouds,NC,2022-03-19 05:52:20
118,Mezen,65.8522,44.24,32.09,91,91,10.42,269,overcast clouds,RU,2022-03-19 05:52:21
119,Nishihara,26.1842,127.7558,73.06,68,40,13.8,310,scattered clouds,JP,2022-03-19 05:52:21
120,Bulgan,48.8125,103.5347,26.74,31,95,11.79,353,overcast clouds,MN,2022-03-19 05:52:21
121,Half Moon Bay,37.4636,-122.4286,54.63,81,0,4.61,310,clear sky,US,2022-03-19 05:52:22
122,Caxito,-8.5785,13.6643,73.47,88,99,3.13,115,overcast clouds,AO,2022-03-19 05:52:22
123,Naze,28.3667,129.4833,63.52,74,51,15.86,297,broken clouds,JP,2022-03-19 05:52:23
124,Nouadhibou,20.931,-17.0347,60.78,82,2,14.97,20,clear sky,MR,2022-03-19 05:52:23
125,Soe,-9.8607,124.284,74.62,85,99,2.93,183,overcast clouds,ID,2022-03-19 05:52:24
126,Morros,-9.4467,-46.3003,73.72,80,85,1.99,326,overcast clouds,BR,2022-03-19 05:52:24
127,Hami,42.8,93.45,53.38,27,99,3.4,260,overcast clouds,CN,2022-03-19 05:52:25
128,Hilo,19.7297,-155.09,73.13,93,100,3.44,210,moderate rain,US,2022-03-19 05:49:41
129,Mahebourg,-20.4081,57.7,86.25,72,37,1.92,21,light rain,MU,2022-03-19 05:52:26
130,Port Hardy,50.6996,-127.4199,41.18,93,100,4.61,220,light rain,CA,2022-03-19 05:52:26
131,Hithadhoo,-0.6,73.0833,83.89,69,99,17.47,256,light rain,MV,2022-03-19 05:52:27
132,Antalaha,-14.9003,50.2788,84.13,71,99,2.75,345,light rain,MG,2022-03-19 05:52:27
133,Bredasdorp,-34.5322,20.0403,68.94,90,63,8.57,95,broken clouds,ZA,2022-03-19 05:52:28
134,Muravlenko,63.7898,74.523,26.73,91,100,19.35,270,overcast clouds,RU,2022-03-19 05:52:28
135,Ballina,-28.8667,153.5667,78.98,75,75,13.8,190,broken clouds,AU,2022-03-19 05:52:29
136,Colares,38.7992,-9.4469,55.33,67,1,7.0,64,clear sky,PT,2022-03-19 05:52:29
137,San Juan,-31.5375,-68.5364,64.02,30,26,6.31,184,scattered clouds,AR,2022-03-19 05:51:03
138,Aklavik,68.2191,-135.0107,-15.43,92,77,8.86,343,broken clouds,CA,2022-03-19 05:52:30
139,Amapa,1.0,-52.0,70.52,99,100,1.52,350,overcast clouds,BR,2022-03-19 05:53:30
