City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Hargeysa,SO,2022-03-14 04:34:18,9.56,44.065,64.2,72,54,13.2
264,Cabo San Lucas,MX,2022-03-14 04:30:57,22.8909,-109.9124,68.5,64,97,7.78
265,Upernavik,GL,2022-03-14 04:34:19,72.7868,-56.1549,-6.97,95,99,10.71
266,Sompeta,IN,2022-03-14 04:34:19,18.9333,84.6,88.99,30,18,6.98
267,Japura,ID,2022-03-14 04:34:20,-0.3167,102.35,86.09,73,96,1.83
268,Shahr-E Babak,IR,2022-03-14 04:35:21,30.1165,55.1186,62.38,29,48,9.62
269,Nhulunbuy,AU,2022-03-14 04:35:21,-12.2333,136.7667,81.21,89,75,10.36
270,Cabedelo,BR,2022-03-14 04:35:22,-6.9811,-34.8339,77.67,79,95,7.94
271,Mizdah,LY,2022-03-14 04:35:23,31.4451,12.9801,52.2,41,36,5.21
272,Coquimbo,CL,2022-03-14 04:31:41,-29.9533,-71.3436,60.53,94,100,3.44
273,Ampanihy,MG,2022-03-14 04:35:24,-24.7,44.75,79.16,53,72,6.22
274,Bambous Virieux,MU,2022-03-14 04:35:24,-20.3428,57.7575,83.21,83,75,11.5
275,Tinskoy,RU,2022-03-14 04:35:25,56.1525,96.9161,8.96,74,84,6.22
276,Rocha,UY,2022-03-14 04:35:25,-34.4833,-54.3333,55.35,93,2,4.68
277,Odessa,UA,2022-03-14 04:35:26,46.4775,30.7326,32.77,68,10,3.2
278,Turukhansk,RU,2022-03-14 04:35:26,65.8167,87.9833,-0.54,92,100,5.95
279,Goundam,ML,2022-03-14 04:35:27,16.4145,-3.6708,73.56,11,43,7.36
280,Arman,RU,2022-03-14 04:35:27,59.7,150.1667,25.02,65,100,1.66
281,Bosaso,SO,2022-03-14 04:35:28,11.2842,49.1816,76.98,78,0,8.05
282,Taltal,CL,2022-03-14 04:30:30,-25.4,-70.4833,65.39,84,13,0.96
283,Trelew,AR,2022-03-14 04:35:28,-43.249,-65.3051,61.03,42,37,3.89
284,Mafeteng,LS,2022-03-14 04:35:29,-29.823,27.2374,55.38,89,83,8.25
285,Akyab,MM,2022-03-14 04:35:29,20.15,92.9,86.22,39,7,4.23
286,Nome,US,2022-03-14 04:35:30,64.5011,-165.4064,26.67,28,0,19.57
287,Muroto,JP,2022-03-14 04:35:31,33.2833,134.15,63.07,82,14,6.06
288,Samana,DO,2022-03-14 04:35:31,19.2056,-69.3369,74.3,84,32,9.46
289,Pedernales,DO,2022-03-14 04:35:32,18.0384,-71.744,78.12,77,84,0.92
290,Skibbereen,IE,2022-03-14 04:35:32,51.55,-9.2667,42.12,82,2,9.26
291,Zhezkazgan,KZ,2022-03-14 04:35:32,47.8043,67.7144,22.98,86,100,11.18
292,Port Hardy,CA,2022-03-14 04:35:33,50.6996,-127.4199,44.6,100,100,2.3
293,Ngunguru,NZ,2022-03-14 04:35:33,-35.6167,174.5,68.47,73,26,7.85
294,Camden,US,2022-03-14 04:35:34,39.7835,-74.9663,36.39,64,38,1.99
295,Lom Sak,TH,2022-03-14 04:35:34,16.7798,101.2422,104.09,37,21,2.3
