City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
344,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
345,Marrakesh,MA,53.67,mist,31.6315,-8.0083,Les Jardins de La Koutoubia
346,Malanje,AO,64.99,light rain,-9.5402,16.341,Hotel Ginga
350,Rincon,US,65.86,broken clouds,32.296,-81.2354,Days Inn Rincon
352,Shimoda,JP,61.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
355,Bam,IR,66.97,clear sky,29.106,58.357,Bam Tourist Hotel
365,La Paz,BO,46.38,scattered clouds,-16.5,-68.15,Hotel Presidente
366,East Wenatchee Bench,US,48.96,overcast clouds,47.4257,-120.2812,Coast Wenatchee Center Hotel
367,Okato,NZ,67.91,overcast clouds,-39.2,173.8833,Goodin Country Garden
368,Ankpa,NG,73.18,overcast clouds,7.3706,7.6253,AA Suites
378,Vila Franca Do Campo,PT,52.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
380,Shanghai,CN,51.93,broken clouds,31.2222,121.4581,Swissotel Grand Shanghai
382,Capaci,IT,58.75,broken clouds,38.1711,13.2393,Hotel Sirenetta
385,Midland,US,51.64,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
387,Porto Santo,PT,59.38,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
390,Tucuma,BR,74.61,overcast clouds,-0.1833,-50.05,
392,Kruisfontein,ZA,68.59,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
394,Vagur,FO,46.83,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
395,Lagoa,PT,52.36,overcast clouds,39.05,-27.9833,Casa Das Faias
398,Muroto,JP,56.79,overcast clouds,33.2833,134.15,Oota Ryokan
399,Methven,NZ,58.46,light rain,-43.6333,171.65,Brinkley Resort
401,Crixas,BR,70.97,scattered clouds,-14.5489,-49.9692,RISO HOTEL
404,Vacaria,BR,61.45,overcast clouds,-28.5122,-50.9339,Pampa Hotel
406,Awbari,LY,72.05,clear sky,26.5921,12.7805,فندق أوباري
407,Sal Rei,CV,68.72,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
409,Ninghai,CN,56.61,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
412,Cururupu,BR,73.13,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
413,Tukrah,LY,53.2,broken clouds,32.5341,20.5791,Lagrota restaurant
420,Sciacca,IT,57.99,overcast clouds,37.5082,13.0881,Hotel Aliai
425,Adrar,MR,61.99,broken clouds,20.5022,-10.0711,
433,Belem De Sao Francisco,BR,70.34,few clouds,-8.7539,-38.9658,Village Hotel
436,Wilmington,US,69.71,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
441,Rawson,AR,51.98,clear sky,-43.3002,-65.1023,Hosteria Sampedro
444,Hatillo,PR,74.79,clear sky,18.4863,-66.8254,El Buen Hotel
447,Hamilton,US,59.18,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
448,Ixtapa,MX,67.23,clear sky,20.7,-105.2,hotel la terminal
456,Tessalit,ML,69.76,clear sky,20.1986,1.0114,
457,Nara,JP,53.49,light rain,34.6851,135.8049,Guesthouse Nara Komachi
458,Reyes,BO,72.57,overcast clouds,-14.3167,-67.3833,
461,Coihueco,CL,57.42,overcast clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
462,Viedma,AR,51.49,few clouds,-40.8135,-62.9967,Hotel Cristal
466,Dillon,US,60.71,overcast clouds,34.4166,-79.3712,Dillon Express Inn
467,Igarapava,BR,70.81,broken clouds,-20.0383,-47.7469,Ângelo Palace Hotel Igarapava
473,Nadadores,MX,57.16,clear sky,27.05,-101.6,Hacienda Las Catalinas
477,Balsas,BR,72.59,overcast clouds,-7.5325,-46.0356,Novo Hotel
479,Ankazobe,MG,69.22,light rain,-18.3167,47.1167,
